origin_zone,dest_zone,location_desc
30401108117,30101100403,Eleanor Schonell Bridge (UQ Green Bridge)
30401108402,30303106516,Eleanor Schonell Bridge (UQ Green Bridge)
30402108628,30304107116,Eleanor Schonell Bridge (UQ Green Bridge)
30402108717,30301105011,Eleanor Schonell Bridge (UQ Green Bridge)
30402108803,30303106044,Eleanor Schonell Bridge (UQ Green Bridge)
30402108805,30303106032,Eleanor Schonell Bridge (UQ Green Bridge)
30402109111,30501111001,Eleanor Schonell Bridge (UQ Green Bridge)
30403109423,30302105810,Eleanor Schonell Bridge (UQ Green Bridge)
30403109430,30304107008,Eleanor Schonell Bridge (UQ Green Bridge)
30403109613,30305107625,Eleanor Schonell Bridge (UQ Green Bridge)
30403109613,30501110513,Eleanor Schonell Bridge (UQ Green Bridge)
30403109715,30302105226,Eleanor Schonell Bridge (UQ Green Bridge)
30504113710,30302105802,Eleanor Schonell Bridge (UQ Green Bridge)
